;DATE;HOME;AWAY;HALF_TIME_HOME_GOALS;HALF_TIME_AWAY_GOALS;FULL_TIME_HOME_GOALS;FULL_TIME_AWAY_GOALS;FULL_TIME_RESULT;MAX_HOME_ODDS;MAX_DRAW_ODDS;MAX_AWAY_ODDS;AVG_HOME_ODDS;AVG_DRAW_ODDS;AVG_AWAY_ODDS;MAX_INITIAL_HOME_ODDS;MAX_INITIAL_DRAW_ODDS;MAX_INITIAL_AWAY_ODDS;AVG_INITIAL_HOME_ODDS;AVG_INITIAL_DRAW_ODDS;AVG_INITIAL_AWAY_ODDS
130;30/11/2021;Leeds;Crystal Palace;0;0;1;0;H;2,52;3,43;3,17;2,42;3,33;3,06;2,36;3,48;3,55;2,25;3,34;3,35
131;01/12/2021;Southampton;Leicester;2;1;2;2;D;2,56;3,56;3;2,43;3,47;2,91;2,5;3,57;3,25;2,36;3,46;3,07
132;01/12/2021;Watford;Chelsea;1;1;1;2;A;11,5;5,75;1,35;10,3;5,43;1,31;11,12;5,7;1,39;9,78;5,33;1,33
133;01/12/2021;West Ham;Brighton;1;0;1;1;D;2,08;3,67;4;2,01;3,53;3,79;2,05;3,65;4,5;1,98;3,45;4,14
134;01/12/2021;Wolves;Burnley;0;0;0;0;D;2,02;3,53;4,44;1,95;3,41;4,23;2,05;3,51;4,94;1,94;3,37;4,4
135;01/12/2021;Aston Villa;Man City;0;2;1;2;A;10;5,5;1,41;8,6;5,2;1,36;8;4,9;1,48;7,35;4,63;1,45
136;01/12/2021;Everton;Liverpool;1;2;1;4;A;8,5;5,31;1,44;7,52;5,05;1,41;9,5;5,7;1,41;8,49;5,18;1,37
137;02/12/2021;Tottenham;Brentford;1;0;2;0;H;1,7;4,3;5,6;1,64;4,07;5,25;1,7;4,25;6,06;1,66;3,93;5,46
138;02/12/2021;Man United;Arsenal;1;1;3;2;H;2,1;3,85;3,76;2,02;3,66;3,66;2,18;3,82;3,85;2,07;3,66;3,52
139;04/12/2021;West Ham;Chelsea;1;2;3;2;H;5;3,75;1,9;4,7;3,6;1,82;5,19;3,81;1,84;4,84;3,64;1,8
140;04/12/2021;Newcastle;Burnley;1;0;1;0;H;2,44;3,59;3,26;2,33;3,35;3,19;2,46;3,53;3,25;2,36;3,44;3,07
141;04/12/2021;Southampton;Brighton;1;0;1;1;D;2,54;3,4;3,26;2,45;3,21;3,1;2,72;3,41;3,35;2,57;3,16;2,99
142;04/12/2021;Wolves;Liverpool;0;0;0;1;A;8,33;5,19;1,47;7,73;4,75;1,43;9,6;5,5;1,44;8,46;5,02;1,39
143;04/12/2021;Watford;Man City;0;2;1;3;A;17;7,7;1,23;14,65;7,19;1,2;16;8,05;1,24;13,55;7,1;1,21
144;05/12/2021;Leeds;Brentford;1;0;2;2;D;2;3,8;4,2;1,94;3,62;3,99;1,92;3,64;5,2;1,84;3,52;4,75
145;05/12/2021;Man United;Crystal Palace;0;0;1;0;H;1,61;4,45;6,6;1,57;4,19;6,09;1,55;4,7;7,13;1,52;4,46;6,42
146;05/12/2021;Tottenham;Norwich;1;0;3;0;H;1,45;5;8,5;1,41;4,75;8,11;1,51;4,73;8,7;1,46;4,49;7,52
147;05/12/2021;Aston Villa;Leicester;1;1;2;1;H;2,51;3,66;3,19;2,36;3,45;3,03;2,4;3,55;3,51;2,26;3,43;3,27
148;06/12/2021;Everton;Arsenal;0;1;2;1;H;3,62;3,7;2,26;3,38;3,52;2,16;3,95;3,64;2,38;3,47;3,44;2,18
149;10/12/2021;Brentford;Watford;0;1;2;1;H;2,36;3,45;3,45;2,29;3,32;3,34;2,63;3,65;3,21;2,52;3,32;2,94
150;11/12/2021;Man City;Wolves;0;0;1;0;H;1,19;8,8;25;1,16;8,11;20,35;1,2;8,64;22;1,17;7,8;18,64
151;11/12/2021;Arsenal;Southampton;2;0;3;0;H;1,71;4,25;5,61;1,67;3,99;5,32;1,81;4,15;5,2;1,75;3,92;4,76
152;11/12/2021;Chelsea;Leeds;1;1;3;2;H;1,32;6,25;13,75;1,28;5,95;11,46;1,3;7,63;14,75;1,24;6,6;12,72
153;11/12/2021;Liverpool;Aston Villa;0;0;1;0;H;1,27;7,25;13,04;1,23;6,85;11,92;1,27;7,3;13;1,24;6,71;11,84
154;11/12/2021;Norwich;Man United;0;0;0;1;A;7,52;4,94;1,47;7,25;4,73;1,45;8,1;5,25;1,47;7,35;4,91;1,43
155;12/12/2021;Burnley;West Ham;0;0;0;0;D;3,75;3,77;2,12;3,61;3,64;2,05;3,74;3,61;2,23;3,44;3,47;2,17
156;12/12/2021;Leicester;Newcastle;1;0;4;0;H;1,78;4,28;4,82;1,75;4,01;4,56;1,79;4,15;5,19;1,74;4,01;4,64
157;12/12/2021;Crystal Palace;Everton;1;0;3;1;H;2,36;3,42;3,67;2,29;3,21;3,42;2,32;3,3;3,8;2,25;3,19;3,56
158;14/12/2021;Norwich;Aston Villa;0;1;0;2;A;3,58;3,35;2,36;3,37;3,26;2,29;3,9;3,55;2,19;3,71;3,36;2,12
159;14/12/2021;Man City;Leeds;3;0;7;0;H;1,18;9,5;21;1,15;8,7;18,17;1,18;10,1;20,59;1,15;9,07;17,53
160;15/12/2021;Brighton;Wolves;0;1;0;1;A;2,42;3,25;3,7;2,32;3,05;3,51;2,38;3,45;4,65;2,07;3,18;4,19
161;15/12/2021;Crystal Palace;Southampton;1;2;2;2;D;2,22;3,56;3,76;2,14;3,38;3,59;2,27;3,55;4,25;2,09;3,41;3,77
162;15/12/2021;Arsenal;West Ham;0;0;2;0;H;2,28;3,78;3,44;2,2;3,58;3,26;2,3;3,76;3,78;2,09;3,59;3,58
163;16/12/2021;Chelsea;Everton;0;0;1;1;D;1,27;6,75;15;1,24;6,17;13,27;1,25;7,83;21;1,21;6,99;16,25
164;16/12/2021;Liverpool;Newcastle;2;1;3;1;H;1,15;10,25;24,98;1,12;9,52;21,43;1,15;13;35;1,11;10,85;24,82
165;18/12/2021;Leeds;Arsenal;0;3;1;4;A;4;3,95;1,98;3,89;3,78;1,91;6,4;4,65;1,63;5,8;4,35;1,57
166;19/12/2021;Newcastle;Man City;0;2;0;4;A;20;8,3;1,21;16,25;7,72;1,18;26;11;1,15;20,93;9,45;1,13
